id,numero_vente,numero_bl,numero_facture,numero_devis,type_vente,client_id,mutuelle_id,payment_mode,total_ht,total_tva,total_ttc,statut,date_vente,validated_by,validated_by_user_id,created_by,created_at
ef7fca77-683b-4569-8f45-147d905d0254,VTE-000013,,,,MUTUELLE,7338f87c-141f-402c-b6ca-d79b478f3269,7f66efbf-6c19-43cd-b049-831f01ecac9e,CREDIT,100.84,19.16,120,Valide,2026-06-17T16:18:00+00:00,,,,2026-06-17T17:18:58.025897+00:00
644f9351-138a-4a02-8bdb-e6d4e7a967ae,VTE-000014,,,,MUTUELLE,7338f87c-141f-402c-b6ca-d79b478f3269,7f66efbf-6c19-43cd-b049-831f01ecac9e,ESPECE,85,0,85,Valide,2026-06-17T15:18:00+00:00,,,,2026-06-17T17:23:20.478482+00:00
47bf721a-be4c-43b0-9ad4-91d42715ab44,VTE-000015,,,,MUTUELLE,7338f87c-141f-402c-b6ca-d79b478f3269,7f66efbf-6c19-43cd-b049-831f01ecac9e,ESPECE,30.8,0,30.8,Valide,2026-06-17T15:18:00+00:00,,,,2026-06-17T17:33:32.837247+00:00
40337757-e581-42df-a426-bf35368cda2c,VTE-000016,,,,COMPTANT,4783089a-075f-4ebb-90d2-00363fafaa88,,CREDIT,72.42,13.76,86.18,Valide,2026-06-17T16:46:00+00:00,,,,2026-06-17T17:47:46.843755+00:00
1998a8dc-edd3-415d-9f61-e8690bc3c0e1,VTE-000017,,,,COMPTANT,c4cb34e6-437a-4636-9a9c-985b273b6f12,,CREDIT,49.145,9.337,58.482,Valide,2026-06-17T15:46:00+00:00,,,,2026-06-17T17:50:12.222207+00:00
cade857f-fb63-42fb-a487-39f35a7b92bf,VTE-000018,,FAC-000005,,COMPTANT,,,ESPECE,79.52,15.109,94.629,Valide,2026-06-21T16:22:00+00:00,,,,2026-06-21T17:26:23.82274+00:00
7035012a-2259-4f09-bb4d-209d5117b400,VTE-000019,,,,COMPTANT,,,ESPECE,-79.52,-15.109,-94.629,Valide,2026-06-22T14:49:00+00:00,,,,2026-06-22T15:54:16.563485+00:00
ec282b6d-5a10-4e4b-a796-0c82daea089e,VTE-000020,,FAC-000006,,COMPTANT,,,ESPECE,79.52,15.109,94.629,Valide,2026-06-25T21:31:00+00:00,CHEKIB,1474fd55-1d69-4ea4-b8c1-e7ef925dd1b7,,2026-06-25T22:39:23.999519+00:00
2874a766-69ac-41c0-8a04-b4e7ffee81a7,VTE-000021,,,,COMPTANT,,,ESPECE,95.295,18.106,113.401,Valide,2026-06-25T21:54:00+00:00,CHEKIB,1474fd55-1d69-4ea4-b8c1-e7ef925dd1b7,,2026-06-25T22:58:43.107593+00:00
3e5cd070-1570-4555-a1d8-aa12021a8c3a,VTE-000023,,,,COMPTANT,,,ESPECE,79.52,15.109,94.629,Valide,2026-06-25T22:42:00+00:00,,,Administrateur,2026-06-25T23:50:01.302018+00:00
b5b31ea7-ef95-4b56-8a44-0ac60b2c7895,VTE-000025,,,,COMPTANT,,,ESPECE,3.55,0,3.55,Valide,2026-06-25T22:51:00+00:00,,,Administrateur,2026-06-25T23:55:37.64247+00:00
bb197eb7-b267-4881-b073-7e0778105517,VTE-000026,,,,COMPTANT,,,ESPECE,21.313,4.049,25.362,Valide,2026-06-26T16:14:00+00:00,,,Administrateur,2026-06-26T17:14:27.69684+00:00
8eb1e369-19ef-4397-a93c-0429ffe5ebb2,VTE-000028,,FAC-000007,,COMPTANT,,,ESPECE,95.295,18.106,113.401,Valide,2026-06-26T23:14:00+00:00,,,chekib,2026-06-27T00:19:12.017821+00:00
4399cce5-ba91-4de4-b3d2-bf8bd12a9758,VTE-000030,,,,COMPTANT,,,ESPECE,79.52,15.109,94.629,Valide,2026-06-27T20:57:00+00:00,,,chekib,2026-06-27T22:01:25.529914+00:00
6af55684-a6f0-4d18-ba9e-8d32669e37ae,VTE-000031,,FAC-000008,,COMPTANT,7338f87c-141f-402c-b6ca-d79b478f3269,,ESPECE,449.342,83.915,533.257,Valide,2026-06-28T14:38:00+00:00,,,chekib,2026-06-28T15:43:46.457152+00:00
443c476e-65f1-4b8f-afb9-dd2d05d5cad0,VTE-000032,,,,COMPTANT,b0d2ca6c-e734-4e99-8580-152c8c5a58c8,,CREDIT,79.52,15.109,94.629,Valide,2026-06-28T15:53:00+00:00,,,chekib,2026-06-28T16:58:23.101856+00:00
b2f188c9-f970-4cae-8513-0196d6ebe3aa,VTE-000033,,FAC-000009,,COMPTANT,,,ESPECE,17.756,3.374,21.13,Valide,2026-06-30T16:14:00+00:00,,,Administrateur,2026-06-30T17:18:35.010743+00:00
c3a80320-289b-48a6-8b7d-add184bc9ecc,VTE-000034,,,,COMPTANT,7338f87c-141f-402c-b6ca-d79b478f3269,,CREDIT,25.127,4.774,29.901,Valide,2026-07-01T12:24:00+00:00,,,Zina,2026-07-01T13:25:01.176118+00:00
312840fc-4f70-473d-8650-d6d21b05976c,VTE-000036,,,,COMPTANT,,,ESPECE,79.52,15.109,94.629,Valide,2026-07-01T11:24:00+00:00,,,chekib,2026-07-01T20:33:58.791182+00:00
aff1113a-de78-4c07-9ae1-0b1fead8a43f,VTE-000037,,,,COMPTANT,,,ESPECE,42.759,8.124,50.883,Valide,2026-07-01T19:37:00+00:00,,,Administrateur,2026-07-01T20:42:32.611836+00:00
cf6bee3e-9a3a-46ae-9f7f-f6680b80eb82,VTE-000038,,,,COMPTANT,,,ESPECE,19.253,3.466,22.719,Valide,2026-07-01T18:37:00+00:00,,,Administrateur,2026-07-02T16:24:09.967522+00:00
c5d40d5c-ac0a-4886-ab36-d0730e99d3b4,VTE-000039,,,,COMPTANT,,,ESPECE,79.52,15.109,94.629,Valide,2026-07-02T15:39:00+00:00,,,Administrateur,2026-07-02T16:43:48.383234+00:00
ede4467e-5c58-4e18-a1ed-f9fd5d1483e9,VTE-000040,,,,COMPTANT,,,ESPECE,14.186,2.695,16.881,Valide,2026-07-02T22:08:00+00:00,,,Administrateur,2026-07-02T23:12:33.039645+00:00
d8db3b59-6a86-47b1-89e1-83d35ae230c7,VTE-000041,,,,COMPTANT,b0d2ca6c-e734-4e99-8580-152c8c5a58c8,,CREDIT,44.269,8.274,52.543,Valide,2026-07-04T10:57:00+00:00,,,Administrateur,2026-07-04T12:02:07.42166+00:00
